algo_name,hyperparameter_name,hyperparameter_value_exp,avg_reward
sample average $\epsilon$-greedy,epsilon,-7,4.305665
sample average $\epsilon$-greedy,epsilon,-7,1.1162019
sample average $\epsilon$-greedy,epsilon,-7,3.7474945
sample average $\epsilon$-greedy,epsilon,-7,3.132723
sample average $\epsilon$-greedy,epsilon,-7,6.211891
sample average $\epsilon$-greedy,epsilon,-7,-0.3651431
sample average $\epsilon$-greedy,epsilon,-7,5.894196
sample average $\epsilon$-greedy,epsilon,-7,3.8292487
sample average $\epsilon$-greedy,epsilon,-7,1.1599351
sample average $\epsilon$-greedy,epsilon,-7,3.445353
sample average $\epsilon$-greedy,epsilon,-7,2.865785
sample average $\epsilon$-greedy,epsilon,-7,7.2536063
sample average $\epsilon$-greedy,epsilon,-7,6.610232
sample average $\epsilon$-greedy,epsilon,-7,6.1657314
sample average $\epsilon$-greedy,epsilon,-7,6.5632777
sample average $\epsilon$-greedy,epsilon,-7,6.0168357
sample average $\epsilon$-greedy,epsilon,-7,3.2004256
sample average $\epsilon$-greedy,epsilon,-7,5.378321
sample average $\epsilon$-greedy,epsilon,-7,5.0275335
sample average $\epsilon$-greedy,epsilon,-7,5.49541
sample average $\epsilon$-greedy,epsilon,-7,3.9367206
sample average $\epsilon$-greedy,epsilon,-7,2.8503695
sample average $\epsilon$-greedy,epsilon,-7,6.659424
sample average $\epsilon$-greedy,epsilon,-7,0.8748671
sample average $\epsilon$-greedy,epsilon,-7,4.543633
sample average $\epsilon$-greedy,epsilon,-7,1.9733933
sample average $\epsilon$-greedy,epsilon,-7,3.6606343
sample average $\epsilon$-greedy,epsilon,-7,5.8062577
sample average $\epsilon$-greedy,epsilon,-7,5.765348
sample average $\epsilon$-greedy,epsilon,-7,4.160815
sample average $\epsilon$-greedy,epsilon,-7,4.7183943
sample average $\epsilon$-greedy,epsilon,-7,3.484603
sample average $\epsilon$-greedy,epsilon,-7,6.1713595
sample average $\epsilon$-greedy,epsilon,-7,5.8339386
sample average $\epsilon$-greedy,epsilon,-7,1.5499809
sample average $\epsilon$-greedy,epsilon,-7,7.122991
